semana,zoom
2019-01-06,5
2019-01-13,5
2019-01-20,5
2019-01-27,5
2019-02-03,5
2019-02-10,5
2019-02-17,5
2019-02-24,5
2019-03-03,5
2019-03-10,5
2019-03-17,5
2019-03-24,5
2019-03-31,5
2019-04-07,5
2019-04-14,6
2019-04-21,6
2019-04-28,5
2019-05-05,5
2019-05-12,5
2019-05-19,5
2019-05-26,6
2019-06-02,5
2019-06-09,6
2019-06-16,6
2019-06-23,6
2019-06-30,6
2019-07-07,6
2019-07-14,6
2019-07-21,6
2019-07-28,5
2019-08-04,6
2019-08-11,6
2019-08-18,6
2019-08-25,6
2019-09-01,6
2019-09-08,6
2019-09-15,6
2019-09-22,6
2019-09-29,6
2019-10-06,6
2019-10-13,6
2019-10-20,6
2019-10-27,6
2019-11-03,6
2019-11-10,6
2019-11-17,6
2019-11-24,7
2019-12-01,7
2019-12-08,6
2019-12-15,6
2019-12-22,5
2019-12-29,5
2020-01-05,6
2020-01-12,6
2020-01-19,6
2020-01-26,6
2020-02-02,6
2020-02-09,7
2020-02-16,7
2020-02-23,7
2020-03-01,8
2020-03-08,13
2020-03-15,44
2020-03-22,82
2020-03-29,100
2020-04-05,89
2020-04-12,81
2020-04-19,81
2020-04-26,70
2020-05-03,64
2020-05-10,63
2020-05-17,56
2020-05-24,46
2020-05-31,47
2020-06-07,41
2020-06-14,37
2020-06-21,37
2020-06-28,35
2020-07-05,35
2020-07-12,35
2020-07-19,33
2020-07-26,31
2020-08-02,33
2020-08-09,35
2020-08-16,41
2020-08-23,47
2020-08-30,47
2020-09-06,45
2020-09-13,43
2020-09-20,43
2020-09-27,38
2020-10-04,37
2020-10-11,32
2020-10-18,33
2020-10-25,31
2020-11-01,29
2020-11-08,33
2020-11-15,31
2020-11-22,31
2020-11-29,32
2020-12-06,30
2020-12-13,30
2020-12-20,25
2020-12-27,19
2021-01-03,28
2021-01-10,32
2021-01-17,31
2021-01-24,30
2021-01-31,32
2021-02-07,30
2021-02-14,29
2021-02-21,30
2021-02-28,29
2021-03-07,27
2021-03-14,27
2021-03-21,27
2021-03-28,22
2021-04-04,24
2021-04-11,26
2021-04-18,27
2021-04-25,25
2021-05-02,25
2021-05-09,25
2021-05-16,25
2021-05-23,25
2021-05-30,23
2021-06-06,23
2021-06-13,22
2021-06-20,21
2021-06-27,20
2021-07-04,17
